year,month,day,max_tmp
2017,01,24,31.800
2017,01,25,32.200
2017,01,26,31.200
2017,01,27,31.300
2017,01,28,31.300
2017,01,29,31.500
2017,01,30,31.200
2017,01,31,31.400
2017,02,01,31.900
2017,02,02,32.000
2017,02,03,33.000
2017,02,04,32.200
2017,02,05,32.500
2017,02,06,31.700
2017,02,07,33.000
2017,02,08,32.800
2017,02,09,32.800
2017,02,10,28.600
2017,02,11,29.400
2017,02,12,29.800
2017,02,13,32.100
2017,02,14,32.000
2017,02,15,32.200
2017,02,16,29.200
2017,02,17,29.800
2017,02,18,
2017,02,19,29.000
2017,02,20,30.800
2017,02,21,31.600
2017,02,22,32.200
2017,02,23,31.200
2017,02,24,31.900
2017,02,25,31.200
2017,02,26,28.800
2017,02,27,30.500
2017,02,28,30.600
2017,03,01,29.900
2017,03,02,30.000
2017,03,03,30.200
2017,03,04,29.900
2017,03,05,31.600
2017,03,06,32.100
2017,03,07,28.800
2017,03,08,28.600
2017,03,09,30.900
2017,03,10,30.300
2017,03,11,30.700
2017,03,12,29.300
2017,03,13,30.900
2017,03,14,31.800
2017,03,15,30.500
2017,03,16,31.300
2017,03,17,31.500
2017,03,18,30.900
2017,03,19,30.500
2017,03,20,31.200
2017,03,21,
2017,03,22,29.300
2017,03,23,
2017,03,24,31.300
2017,03,25,28.000
2017,03,26,30.700
2017,03,27,31.600
2017,03,28,32.000
2017,03,29,30.100
2017,03,30,31.400
2017,03,31,
2017,04,01,
2017,04,02,
2017,04,03,
2017,04,04,28.400
2017,04,05,32.200
2017,04,06,31.900
2017,04,07,31.900
2017,04,08,32.600
2017,04,09,29.800
2017,04,10,
2017,04,11,31.700
2017,04,12,29.200
2017,04,13,29.200
2017,04,14,31.900
2017,04,15,32.800
2017,04,16,32.400
2017,04,17,32.000
2017,04,18,31.000
2017,04,19,31.700
2017,04,20,31.400
2017,04,21,31.200
2017,04,22,30.900
2017,04,23,30.600
2017,04,24,31.800
2017,04,25,31.800
2017,04,26,30.600
2017,04,27,29.900
2017,04,28,31.400
2017,04,29,29.800
2017,04,30,31.500
2017,05,01,32.000
2017,05,02,32.000
2017,05,03,31.900
2017,05,04,31.700
2017,05,05,32.000
2017,05,06,31.500
2017,05,07,30.600
2017,05,08,29.400
2017,05,09,31.400
2017,05,10,32.000
2017,05,11,32.200
2017,05,12,31.700
2017,05,13,32.200
2017,05,14,31.600
2017,05,15,31.900
2017,05,16,32.400
2017,05,17,31.600
2017,05,18,31.000
2017,05,19,31.300
2017,05,20,31.800
2017,05,21,31.900
2017,05,22,32.300
2017,05,23,
2017,05,24,31.500
2017,05,25,31.600
2017,05,26,32.200
2017,05,27,28.700
2017,05,28,
2017,05,29,31.100
2017,05,30,30.500
2017,05,31,31.800
2017,06,01,31.900
2017,06,02,
2017,06,03,
2017,06,04,31.200
2017,06,05,31.900
2017,06,06,
2017,06,07,
2017,06,08,
2017,06,09,
2017,06,10,30.600
2017,06,11,31.000
2017,06,12,31.900
2017,06,13,31.400
2017,06,14,31.400
2017,06,15,30.400
2017,06,16,31.600
2017,06,17,31.700
2017,06,18,31.200
2017,06,19,31.400
2017,06,20,31.700
2017,06,21,
2017,06,22,31.400
2017,06,23,
2017,06,24,
2017,06,25,31.800
2017,06,26,31.400
2017,06,27,
2017,06,28,30.400
2017,06,29,28.600
2017,06,30,31.000
2017,07,01,31.300
2017,07,02,31.600
2017,07,03,32.000
2017,07,04,31.300
2017,07,05,29.700
2017,07,06,
2017,07,07,32.300
2017,07,08,
2017,07,09,31.400
2017,07,10,31.800
2017,07,11,31.600
2017,07,12,32.200
2017,07,13,
2017,07,14,31.600
2017,07,15,
2017,07,16,31.700
2017,07,17,30.000
2017,07,18,
2017,07,19,
2017,07,20,
2017,07,21,30.600
2017,07,22,30.500
2017,07,23,32.200
2017,07,24,32.000
