F_0,M_0,O_0,dia
44.64367496136012,42.77884709259259,91.63521666666666,2015-12-06
28.440333928571427,24.35802975699221,0.0,2015-12-07
28.22085223097113,24.742591844863732,32.2815,2015-12-08
29.667277515067216,23.629772046746687,0.0,2015-12-09
27.491433019853712,24.17345734367971,0.0,2015-12-10
33.27345942906574,25.463287771676963,0.0,2015-12-11
31.856794096542725,29.163769878957172,18.630225,2015-12-12
42.25211523982999,37.998439984070096,0.0,2015-12-13
30.633300230061348,26.58594916855631,16.86466666666667,2015-12-14
33.52363798335781,26.440657346414387,0.0,2015-12-15
29.82801510948905,23.802067291666667,0.0,2015-12-16
26.471305388272583,22.417467054827753,10.204,2015-12-17
27.135972499999998,27.09057350462208,10.64425,2015-12-18
31.080440558103973,30.909895791433893,0.0,2015-12-19
44.804312868080096,38.76912844827586,57.47089166666666,2015-12-20
28.997080898550724,26.39599830708661,19.48905,2015-12-21
30.636717624521076,28.1267160111576,33.28771666666667,2015-12-22
31.393215402704296,27.29583273960984,0.0,2015-12-23
28.415086631944444,26.015240777777777,0.0,2015-12-24
46.5163005952381,44.92866653439153,38.670205555555555,2015-12-25
34.747662704918035,33.93453832116788,0.0,2015-12-26
48.358611764705884,43.6289876201461,100.72037222222222,2015-12-27
31.774131968641118,31.612173439949824,0.0,2015-12-28
36.570719909502266,28.466932187761945,66.59823333333334,2015-12-29
30.558351592719,27.82047356725146,54.241444444444454,2015-12-30
30.306820250284417,28.597038294573643,0.0,2015-12-31
39.993499337121214,35.84913401234568,33.65078333333334,2016-01-01
35.555002018093255,32.52671670630202,76.971475,2016-01-02
48.447181930126,43.52647727093207,67.25041666666667,2016-01-03
32.92098639747996,27.807047464062926,0.0,2016-01-04
30.143658808530365,25.57620857108023,30.35222222222222,2016-01-05
29.941108851795654,26.443721263537906,48.47891666666666,2016-01-06
34.59927264631043,27.78898187444739,40.942166666666665,2016-01-07
33.631322072072074,27.08128584551931,17.74288333333333,2016-01-08
35.763117960088685,33.93593904471545,0.0,2016-01-09
59.76957873210634,37.550498007889544,109.35019166666666,2016-01-10
30.993001777137373,26.006123529411763,45.006166666666665,2016-01-11
31.529067338129494,26.614848815822626,0.0,2016-01-12
33.621746913580246,36.55853774193549,0.0,2016-01-13
36.488979707876894,27.80817120717781,0.0,2016-01-14
35.65831294871795,29.915144263974245,6.696608333333334,2016-01-15
35.62257668918919,32.94557904874214,0.0,2016-01-16
47.71749022687609,45.16414300646143,0.0,2016-01-17
30.571534879145585,29.022263745173746,0.0,2016-01-18
37.8250823014384,30.213321136767316,0.0,2016-01-19
42.4645779830639,47.43922555135476,0.0,2016-01-20
36.109228012519566,38.82908266782407,0.0,2016-01-21
40.16170243261013,33.96539010072395,6.958166666666667,2016-01-22
38.579785294117656,31.253651414868102,0.0,2016-01-23
57.64253683712122,49.105214700704224,0.0,2016-01-24
35.56511558265583,32.29062959501558,0.0,2016-01-25
38.107991414141416,40.995063682060945,0.0,2016-01-26
33.90537523474178,27.206316328543252,148.05683333333334,2016-01-27
37.86838511235955,29.031910427574168,17.00633333333333,2016-01-28
