dia,M_0,F_0,O_0,M_3,F_3,O_3,M_4,F_4,O_4,num_of_stations
2015-09-08,1021,525,1.0,158,81,0.0,0.0,0.0,0.0,40.0
2015-09-09,982,468,2.0,139,86,0.0,1.0,0.0,0.0,40.0
2015-09-10,1093,542,1.0,137,66,0.0,0.0,0.0,0.0,40.0
2015-09-11,1019,430,1.0,140,61,1.0,1.0,0.0,0.0,40.0
2015-09-12,804,455,1.0,81,39,0.0,0.0,1.0,0.0,40.0
2015-09-13,777,700,1.0,110,74,0.0,0.0,0.0,0.0,40.0
2015-09-14,1120,463,0.0,125,44,0.0,0.0,0.0,0.0,40.0
2015-09-15,1199,523,2.0,144,91,1.0,1.0,0.0,0.0,40.0
2015-09-16,1068,557,0.0,119,60,0.0,0.0,0.0,0.0,40.0
2015-09-17,1066,510,4.0,113,88,0.0,0.0,0.0,0.0,40.0
2015-09-18,1018,494,2.0,113,46,0.0,0.0,0.0,0.0,40.0
2015-09-19,747,421,2.0,92,32,0.0,2.0,0.0,0.0,40.0
2015-09-20,859,685,0.0,113,93,0.0,0.0,1.0,0.0,40.0
2015-09-21,997,474,0.0,113,65,0.0,1.0,0.0,0.0,40.0
2015-09-22,1193,566,2.0,120,55,0.0,0.0,0.0,0.0,40.0
2015-09-23,1072,529,0.0,136,71,0.0,1.0,0.0,0.0,40.0
2015-09-24,1106,519,3.0,177,71,1.0,0.0,0.0,0.0,40.0
2015-09-25,968,461,3.0,147,77,0.0,0.0,0.0,0.0,40.0
2015-09-26,803,432,3.0,104,49,1.0,0.0,0.0,0.0,40.0
2015-09-27,813,702,3.0,100,74,0.0,0.0,0.0,0.0,40.0
2015-09-28,987,485,3.0,96,41,0.0,0.0,2.0,0.0,40.0
2015-09-29,1084,493,6.0,102,65,0.0,1.0,0.0,0.0,40.0
2015-09-30,1126,515,4.0,133,82,1.0,0.0,0.0,0.0,40.0
2015-10-01,1201,510,4.0,126,74,0.0,0.0,1.0,0.0,40.0
2015-10-02,1088,490,5.0,121,48,0.0,0.0,1.0,0.0,40.0
2015-10-03,785,451,6.0,62,50,0.0,1.0,1.0,0.0,40.0
2015-10-04,763,623,5.0,80,65,0.0,0.0,0.0,0.0,40.0
2015-10-05,1038,494,6.0,104,53,0.0,0.0,1.0,0.0,40.0
2015-10-06,1112,495,4.0,119,57,0.0,1.0,0.0,0.0,40.0
2015-10-07,1126,528,3.0,118,52,0.0,0.0,0.0,0.0,40.0
2015-10-08,1113,485,0.0,111,55,0.0,0.0,1.0,0.0,40.0
2015-10-09,981,436,4.0,129,59,0.0,1.0,0.0,0.0,40.0
2015-10-10,708,389,1.0,69,35,0.0,1.0,0.0,0.0,40.0
2015-10-11,729,589,1.0,75,64,0.0,1.0,0.0,0.0,40.0
2015-10-12,738,599,0.0,93,61,0.0,1.0,0.0,0.0,40.0
2015-10-13,1079,511,4.0,139,55,0.0,0.0,1.0,0.0,40.0
2015-10-14,1120,515,5.0,125,58,0.0,0.0,0.0,0.0,40.0
